dataset_size,subset_size,coverage_threshold,#females,#questions,result
241000,50,50,50,4709,True
241000,50,50,50,4773,True
241000,50,50,50,4697,True
241000,50,50,50,4803,True
241000,50,50,50,4800,True
241000,50,50,50,4891,True
241000,50,50,50,4788,True
241000,50,50,50,4808,True
241000,50,50,50,4788,True
241000,50,50,50,4713,True
241000,50,50,50,4799,True
241000,50,50,50,4526,True
241000,50,50,50,4876,True
241000,50,50,50,4223,True
241000,50,50,50,4894,True
241000,50,50,50,4755,True
241000,50,50,50,4808,True
241000,50,50,50,4810,True
241000,50,50,50,4741,True
246000,50,50,50,4953,True
246000,50,50,50,4896,True
246000,50,50,50,4868,True
246000,50,50,50,4883,True
246000,50,50,50,5136,True
246000,50,50,50,4853,True
246000,50,50,50,5106,True
246000,50,50,50,4971,True
246000,50,50,50,4935,True
246000,50,50,50,4940,True
246000,50,50,50,4920,True
246000,50,50,50,4906,True
246000,50,50,50,4714,True
246000,50,50,50,4961,True
246000,50,50,50,4853,True
246000,50,50,50,4878,True
246000,50,50,50,4819,True
246000,50,50,50,4685,True
246000,50,50,50,5044,True
246000,50,50,50,4882,True
251000,50,50,50,4909,True
